月,総診療報酬 (点),レセ単価 (点),レセ枚数 (枚),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1月,2148712,712,3018,174,58,137,35,57,6,42,26,0,164,9,0,0,0,5
2月,2258470,696,3245,174,58,123,35,60,13,40,14,0,162,12,0,0,0,5
3月,981804,521,1885,173,47,91,12,55,14,31,2,0,88,2,0,0,0,5
4月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
総数,5388986,661,8148,174,56,121,29,58,11,39,16,0,146,9,0,0,0,5
前年,24968101,690,36178,156,64,152,30,55,5,40,12,0,162,9,0,0,0,5
前年比,22,96,23,112,88,80,97,105,220,98,133,0,90,100,0,0,0,100
